"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","[403]FORBIDDEN - Get mirroring list by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","MIRRORING","",""
"","32","[412]PRECONDITION_FAILED - Update nonexistent ingress group","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","INGRESS_GROUPS","",""
"","59","[200]OK - Get loopback ports speed limit list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","LOOPBACK_PORTS","",""
"","46","[200]OK - Delete filters","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","FILTERS","",""
"","23","[412]PRECONDITION_FAILED - Delete nonexistent egress group","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","EGRESS_GROUPS","",""
"","21","[412]PRECONDITION_FAILED - Invalid update port status","Packet Broker","2026-02-09","passed","2026-02-09","Update entity","PORT_STATUS","",""
"","36","[200]OK - Create filters","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","FILTERS","",""
"","82","[200]OK - Delete mirror filter","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","MIRROR_FILTER","",""
"","33","[412]PRECONDITION_FAILED - Update nonexistent egress group","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","EGRESS_GROUPS","",""
"","129","[200]OK - Get configured ports list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","PORTS","",""
"","19","[403]FORBIDDEN - Delete mirroring group by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","MIRRORING","",""
"","44","[403]FORBIDDEN - Create nodes config by unauthenticated user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","NODES","",""
"","22","[200]OK - Create nodes config","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","NODES","",""
"","54","[200]OK - Delete psf format","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","PSF_FORMAT","",""
"","41","[403]FORBIDDEN - Update mirroring group by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","MIRRORING","",""
"","36","[403]FORBIDDEN - Get mirror filter list by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","MIRROR_FILTER","",""
"","29","[200]OK - Get mirroring list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","MIRRORING","",""
"","29","[412]PRECONDITION_FAILED - Create already creating analysis port","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","ANALYSIS_PORTS","",""
"","56","[412]PRECONDITION_FAILED - Delete balancing group that had been deleted","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","BALANCING","",""
"","21","[412]PRECONDITION_FAILED - Update balancing group without logicId","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","BALANCING","",""
"","43","[403]FORBIDDEN - Update psf format by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PSF_FORMAT","",""
"","30","[403]FORBIDDEN - Get balancing list with access_token","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","BALANCING","",""
"","37","[403]FORBIDDEN - Create additional filters without access-token","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","ADDITIONAL_FILTERS","",""
"","43","[403]FORBIDDEN - Get psf dmac by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PSF_DMAC","",""
"","69","[200]OK - Create mirror filter","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","MIRROR_FILTER","",""
"","36","[403]FORBIDDEN - Delete nodes config by unauthenticated user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","NODES","",""
"","679","[200]OK - Return default config","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","CUSTOM_CONFIG","",""
"","34","[403]FORBIDDEN - Create psf dmac by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PSF_DMAC","",""
"","24","[412]PRECONDITION_FAILED - Create already creating ingress group","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","INGRESS_GROUPS","",""
"","23","[412]PRECONDITION_FAILED - Update nonexistent psf format ","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PSF_FORMAT","",""
"","19","[403]FORBIDDEN - Delete filters by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","FILTERS","",""
"","186","[200]OK - Delete configured ports","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","PORTS","",""
"","37","[403]FORBIDDEN - Get switch info by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","SWITCH_INFO","",""
